mode,mask,coalition,on_M1,on_M2,on_M3,on_M4,on_E1,on_E3,ranking,gate,f1_yes,confidence_score,variable_weight_score,important_decisive_factor_score,tool_score,section_grounding_score
deployed,9,M1+M4,1,0,0,1,0,0,0.7004552003360844,0.7362637362637363,0.8208955223880597,0.6343283582089553,0.8462686567164179,0.7655738954246417,0.8743781094527363,0.8411513859275054
deployed,10,M2+M4,0,1,0,1,0,0,0.6761221115067269,0.7252747252747253,0.8148148148148148,0.4166666666666667,0.8474747474747475,0.771593894321167,0.8787878787878788,0.841991341991342
deployed,11,M1+M2+M4,1,1,0,1,0,0,0.7292190836256456,0.7692307692307693,0.8396946564885496,0.7071428571428572,0.8457142857142858,0.7657000935572363,0.8761904761904762,0.8414965986394558
deployed,12,M3+M4,0,0,1,1,0,0,0.7031324310751861,0.7692307692307693,0.8372093023255814,0.40714285714285714,0.8487301587301588,0.7748435691292834,0.8785714285714286,0.8421768707482994
deployed,13,M1+M3+M4,1,0,1,1,0,0,0.7571848311944466,0.8131868131868132,0.864,0.6824324324324325,0.846996996996997,0.7690926940926941,0.8761261261261261,0.8416988416988417
deployed,14,M2+M3+M4,0,1,1,1,0,0,0.7324635247231401,0.8021978021978022,0.8571428571428571,0.4863013698630137,0.8480974124809741,0.7745836355425397,0.8801369863013698,0.8424657534246576
deployed,15,M1+M2+M3+M4,1,1,1,1,0,0,0.7871720982534349,0.8461538461538461,0.8852459016393442,0.7467532467532467,0.8464646464646465,0.7690703236157782,0.8777056277056277,0.841991341991342
deployed,16,E1,0,0,0,0,1,0,0.7942502375893985,0.8571428571428571,0.8925619834710744,0.7435897435897436,0.8500474833808167,0.7680867565482951,0.860042735042735,0.8424908424908424
deployed,17,M1+E1,1,0,0,0,1,0,0.8029646670992825,0.8681318681318682,0.9,0.7468354430379747,0.8502578527894985,0.7692140489608844,0.8618143459915611,0.8423749246534057
deployed,18,M2+E1,0,1,0,0,1,0,0.7936321057212665,0.8571428571428571,0.8925619834710744,0.7371794871794872,0.8500474833808167,0.7680867565482951,0.860042735042735,0.8424908424908424
deployed,19,M1+M2+E1,1,1,0,0,1,0,0.8023465352311506,0.8681318681318682,0.9,0.740506329113924,0.8502578527894985,0.7692140489608844,0.8618143459915611,0.8423749246534057
deployed,20,M3+E1,0,0,1,0,1,0,0.7907439711285865,0.8461538461538461,0.8833333333333333,0.7922077922077922,0.8511303511303512,0.7694039005727318,0.8712121212121211,0.8426097711811997
deployed,21,M1+M3+E1,1,0,1,0,1,0,0.7994508769678453,0.8571428571428571,0.8907563025210085,0.7948717948717948,0.8513295346628681,0.7705287589902975,0.8728632478632478,0.8424908424908424
deployed,22,M2+M3+E1,0,1,1,0,1,0,0.7901258392604547,0.8461538461538461,0.8833333333333333,0.7857142857142857,0.8511303511303512,0.7694039005727318,0.8712121212121211,0.8426097711811997
deployed,23,M1+M2+M3+E1,1,1,1,0,1,0,0.7988327450997135,0.8571428571428571,0.8907563025210085,0.7884615384615384,0.8513295346628681,0.7705287589902975,0.8728632478632478,0.8424908424908424
deployed,24,M4+E1,0,0,0,1,1,0,0.8098508364854519,0.8791208791208791,0.905982905982906,0.74375,0.8483796296296295,0.7693968531468531,0.8604166666666666,0.8428571428571429
deployed,25,M1+M4+E1,1,0,0,1,1,0,0.818751356463558,0.8901098901098901,0.9137931034482759,0.7469135802469136,0.8486053955189758,0.7704801371468039,0.8621399176954732,0.8427395649617871
